gp_practice,latitude,longitude,asthma_percentage,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Parkfield Medical Centre,52.5671397,-2.1189168,5.9406,1.2851419413919414,227.20592948717947,0.9742445054945055,9.556662087912088,53.345467032967036,1.918956043956044,3.812614468864469,5.069368131868132,1.7766712454212454
Pearl Medical Centre,52.4934389,-1.8333301,4.5117,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Perry Park Surgery,52.52652639999999,-1.9054622,5.4778,1.296474358974359,235.22298534798534,2.352220695970696,13.079555860805861,50.16277472527472,3.410485347985348,4.239239926739927,5.501717032967033,1.2129120879120878
Poplar Primary Care Centre,52.43631540000001,-1.8897036,5.3721,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Queslett Medical Centre,52.556503,-1.898717,6.5562,1.31856684981685,235.79246794871796,2.2152014652014653,12.82852564102564,51.746222527472526,3.25709706959707,4.28926282051282,5.570627289377289,1.4025869963369964
Reservoir Road Surgery,52.5239334,-1.8569796,5.7241,1.31856684981685,235.79246794871796,2.2152014652014653,12.82852564102564,51.746222527472526,3.25709706959707,4.28926282051282,5.570627289377289,1.4025869963369964
Richmond Medical Centre,52.4465854,-1.7998979,6.8966,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Ridgacre House Surgery,52.4608516,-1.9884019,7.9702,1.3033424908424909,234.7026098901099,2.0706272893772892,12.904075091575091,49.84764194139194,3.2524038461538463,4.3592032967032965,5.699175824175824,1.3974358974358974
River Brook Medical Centre,52.4316106,-1.916194,8.2143,1.3033424908424909,234.7026098901099,2.0706272893772892,12.904075091575091,49.84764194139194,3.2524038461538463,4.3592032967032965,5.699175824175824,1.3974358974358974
Rowlands Road Surgery,52.4620224,-1.8051308,5.4457,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
